#id_parent	id	name	keys
0	1	Фантастика
1	100	Научная фантастика	sf,sf_writing,sf_su
1	101	Фэнтези	sf_fantasy,foreign_fantasy,everyday_fantasy,asian_fantasy,dark_fantasy
1	102	Боевая фантастика	sf_action
1	103	Ужасы	sf_horror
1	104	Юмористическая фантастика	sf_humor
1	105	Альтернативная история	sf_history,fantasy_alt_hist
1	106	Социальная фантастика	sf_social
1	107	Космическая фантастика	sf_space,sf_space_opera
1	108	Любовная фантастика	love_sf,love_fantasy
1	109	Детская фантастика	child_sf,child_sf_space,child_sf_hronoopera,child_sf_horror,child_sf_fantasy
1	110	Героическая фантастика	sf_heroic
1	111	Детективная фантастика	sf_detective,fantasy_det
1	112	Эпическая фантастика	sf_epic
1	113	Городское фэнтези	sf_fantasy_city,city_fantasy
1	114	Постапокалипсис	sf_postapocalyptic
1	115	Мистика	sf_mystic
1	116	Киберпанк	sf_cyberpunk
1	117	Попаданцы	popadanec,popadancy
1	118	Фантастика: прочее	sf_etc,sf_all,adventure_fantasy,dorama,boyar_anime,magic_school,sf_realrpg,foreign_sf,sf_industrial_magic,utopia,dystopian
1	120	Сказочная фантастика	fairy_fantasy
1	121	Ненаучная фантастика	nsf
1	122	Ироническое фэнтези	sf_fantasy_irony
1	123	Готический роман	gothic_novel
1	124	Ироническая фантастика	sf_irony
1	125	Историческое фэнтези	historical_fantasy
1	126	Стимпанк	sf_stimpank
1	127	Технофэнтези	sf_technofantasy
1	128	Юмористическое фэнтези	humor_fantasy
1	129	Хроноопера	hronoopera
1	130	ЛитРПГ	sf_litrpg
1	131	Альтернативная история	fantasy_alt_hist
1	132	Славянское фэнтези	russian_fantasy,slavic_fantasy

0	2	Проза
2	200	Современная проза	prose_contemporary
2	201	Классическая проза	prose_classic
2	202	Русская классическая проза	prose_rus_classic
2	203	Советская классическая проза	prose_su_classics
2	204	Историческая проза	prose_history
2	205	О войне	prose_military
2	206	Рассказ	short_story
2	207	Проза	prose,prose_all
2	208	Контркультура	prose_counter
2	209	Эпистолярная проза	epistolary_fiction
2	210	Роман	roman
2	211	Эссе, очерк, этюд, набросок	essay
2	212	Повесть	great_story
2	213	Антисоветская литература	dissident
2	214	Магический реализм	prose_magic
2	215	Афоризмы	aphorisms
2	216	Новелла	story
2	217	Семейный роман/Семейная сага	sagas
2	218	Сентиментальная проза	prose_sentimental
2	219	Эпопея	prose_epic
2	220	Феерия	extravaganza
2	221	Классическая проза ХX века	literature_20
2	222	Классическая проза ХIX века	literature_19
2	223	Классическая проза XVII-XVIII веков	literature_18
2	224	Экспериментальная, неформатная проза	prose_neformatny
2	225	Классическая русская поэзия	poetry_rus_classical
2	226	Зарубежная классическая проза	foreign_prose
2	227	Фантасмагория, абсурдистская проза 	prose_abs

0	3	Наука, Образование
3	300	История	sci_history
3	301	Психология	sci_psychology,sci_psychology_popular
3	302	Философия	sci_philosophy
3	303	Технические науки	sci_tech,tech_all
3	304	Политика	sci_politics
3	305	Научная литература: прочее	science,sci_all
3	306	Культурология	sci_culture
3	307	Литературоведение	sci_philology
3	308	Языкознание	sci_linguistic
3	309	Медицина	sci_medicine
3	310	Юриспруденция	sci_juris
3	311	Учебники	sci_textbook
3	312	Религиоведение	sci_religion
3	313	Биология	sci_biology
3	314	Военная история	military_history
3	315	Математика	sci_math
3	316	Физика	sci_phys
3	317	Деловая литература	sci_business
3	318	Педагогика	sci_pedagogy
3	319	Астрономия и Космос	sci_cosmos
3	320	Экономика	sci_economy
3	321	Шпаргалки	sci_crib
3	322	Альтернативная медицина	sci_medicine_alternative
3	323	Геология и география	sci_geo
3	324	Химия	sci_chem
3	325	Обществознание	sci_social_studies
3	326	Государство и право	sci_state
3	327	Зоология	sci_zoo
3	328	Ботаника	sci_botany
3	329	Экология	sci_ecology
3	330	Иностранные языки	foreign_language
3	331	Биохимия	sci_biochem
3	332	Детская психология	psy_childs
3	333	Ветеринария	sci_veterinary
3	334	Физическая химия	sci_physchem
3	335	Секс и семейная психология	psy_sex_and_family
3	336	Психотерапия и консультирование	psy_theraphy
3	337	Биофизика	sci_biophys
3	338	Органическая химия	sci_orgchem
3	339	Аналитическая химия	sci_anachem
3	340	Рефераты	sci_abstract
3	341	Учебники и пособия ВУЗов	tbg_higher
3	342	Учебники и пособия для среднего и специального образования	tbg_secondary
3	343	Школьные учебники и пособия, рефераты, шпаргалки	tbg_school
3	344	Востоковедение	sci_oriental

0	4	Детективы и Триллеры
4	400	Детективы: прочее	detective,det_all,det_artifact,det_other
4	401	Триллер	thriller,thriller_mystery
4	402	Классический детектив	det_classic
4	403	Боевик	det_action
4	404	Полицейский детектив	det_police
4	405	Детские остросюжетные	child_det
4	406	Любовные детективы	love_detective
4	407	Криминальный детектив	det_crime
4	408	Исторический детектив	det_history
4	409	Иронический детектив	det_irony
4	410	Шпионский детектив	det_espionage,шпионский_детектив
4	411	Крутой детектив	det_hard
4	412	Дамский детективный роман	det_cozy,det_lady
4	414	Политический детектив	det_political
4	415	Маньяки	det_maniac
4	416	Юридический триллер	thriller_legal
4	417	Медицинский триллер	thriller_medical
4	418	Техно триллер	thriller_techno
4	419	Советский детектив	det_su
4	420	Психологический триллер	thriller_psychology

0	5	Документальная литература
5	500	Биографии и Мемуары	nonf_biography,биографии_и_мемуары,nonf_biography_writers,nonf_biography_celebrities,nonf_biography_historical,about_musicians
5	501	Публицистика	nonf_publicism
5	502	Путешествия и география	adv_geo
5	503	Научпоп	sci_popular
5	504	Документальная литература	nonfiction,nonf_all
5	505	Природа и животные	adv_animal
5	506	Критика	nonf_criticism
5	507	Военная документалистика	nonf_military,nonf_biography_military_figures
5	508	География, путевые заметки	travel_notes

0	6	Любовные романы
6	600	Короткие любовные романы	love_short
6	601	Современные любовные романы	love_contemporary
6	602	Исторические любовные романы	love_history
6	604	О любви	love,love_all
6	607	Эротика	love_erotica
6	608	Порно	love_hard

0	7	Детское
7	700	Детская литература: прочее	children,child_all,child_dramaturgy,child_det_children_detectives,child_prose_history
7	701	Сказка	child_tale
7	702	Детская проза	child_prose,child_prose_humor,child_prose_romantic
7	705	Образовательная литература	child_education
7	706	Детские стихи	child_verse
7	707	Детские приключения	child_adv,child_adv_animal
7	708	Книга-игра	prose_game
7	709	Подростковая литература	ya
7	710	Детский фольклор	child_folklore
7	711	Русские сказки	child_tale_rus,child_tale_russian_writers
7	712	Классическая детская литература	child_classical
7	713	Зарубежная детская литература	foreign_children,child_tale_foreign_writers
7	714	Детские детективы	child_det_other,child_det_children_detectives,child_det_animal_detectives

0	8	Домоводство
8	800	Эротика, Секс	home_sex
8	801	Кулинария	home_cooking
8	802	Здоровье	home_health
8	803	Хобби и ремесла	home_crafts
8	804	Спорт	home_sport
